Name, Lat, Lon
Antonio's,18.3733503,-67.25282708
,,
Aoshima Island,31.8048565,131.4799288
,,
Apollonas (Naxos),37.18,25.553
,,
Apple Bay,18.40133857,-64.6807579
,,
Aragum Bay,6.839229085,81.83994806
,,
Arambol,15.687,73.702
,,
Aramoana,-45.768975,170.7005389
,,
Arashi,12.618,-70.061
,,
Areia Preta,-5.792249,-35.184387
,,
Arenzano,44.39,8.668
,,
Argamans Beach,32.302,34.839
,,
Arkutino,42.335,27.732
,,
Armação,-27.742428,-48.507161
,,
Armenistis (Ikiria),37.631,26.091
,,
Arpoador,-22.99015,-43.191696
,,
Arrawarra,-30.058,153.206
,,
Arrecifes,11.3164,-73.9476
,,
Arrifana,37.293774,-8.87188
,,
Aruana,-11.067069,-37.101289
,,
Asbury Park,40.217443,-73.999825
,,
Ashbridges Bay,43.661913,-79.30499
,,
Ashdod,31.815,34.637
,,
Ashiya,33.895105,130.65053
,,
Ashkelon,31.674,34.548
,,
Asilomar,36.61880092,-121.9422482
,,
Aslings Beach,-37.058,149.911
,,
Assateague,38.148058,-75.17704
,,
Assholes,28.96533635,-95.26739754
,,
Assinie,5.127,-3.291
,,
Asuncion Bay,27.146,-114.268
,,
Atacames,0.8772,-79.8494
,,
Atalaia,-26.91507,-48.639718
,,
Aticama,21.484,-105.202
,,
Atins,-2.555789,-42.727836
,,
Atlantic Beach,30.32468915,-81.39229204
,,
Atlantic Beach,34.69583664,-76.7408967
,,
Atlantic Dunes Park,26.44179551,-80.05928855
,,
Au Train Bay,46.448116,-86.855181
,,
Aucanada,39.837,3.1579
,,
Aufaga Village,-14.044,-171.523
,,
Austinmer,-34.305,150.939
,,
Avalanche,-33.983,25.671
,,
Avalanche,43.428,-1.616
,,
Avalon,-33.63539722,151.3329694
,,
Avalon 10-14th Street,39.104,-74.705
,,
Avalon Pier,36.04413012,-75.6742781
,,
Avellanas,10.22975,-85.84058333
,,
Aventureiro,-23.184406,-44.315804
,,
Avila Beach,35.1775326,-120.7341125
,,
Aviones,18.452,-65.957871
,,
Avoca Point,-33.47,151.44
,,
Avon,40.18834956,-74.00860983
,,
Avon Lake,41.499068,-82.078337
,,
Avon Pier,35.3472134,-75.50083932
,,
Axim,4.858,-2.246
,,
Ayampe,-1.6806,-80.8165
,,
Back Beach,-28.796,114.61
,,
Back Beach at Trial Bay,-30.87,153.027
,,
Backdoor,21.665,-158.054
,,
Backdoor,-22.93881,-42.472208
,,
Backdoor,37.333,13.393
,,
Backdoor Overview,21.6656,-158.051
,,
Backwash,22.892,-109.895
,,
Badesi,40.98,8.856
,,
Baduska,-14.809442,-39.023423
,,
Baga Beach,15.561,73.747
,,
Bagasbas Beach,14.13765113,122.9834919
,,
Bagni Fiume,43.52,10.311
,,
Bahia Chileno,22.945,-109.804
,,
Bahia Faro,-38.086,-57.539
,,
Bahia TW,20.76,-105.538
,,
Bahia Tortugas (Turtle Bay),27.658,-114.899
,,
Bahoruco,17.988754,-71.160747
,,
Baia Formosa,-6.367999,-35.015705
,,
Baia das Ratas,-3.813,-32.393
,,
Baie de Galion,-25.019,46.992
,,
Baie des Carpes,14.752,-17.526
,,
Baie des Singes,-25.036,46.984
,,
Baie des Trepasses,48.047,-4.711
,,
Baja Malibu,32.417,-117.096
,,
Bajamar,28.557806,-16.343193
,,
Baked Beans,-33.979,25.656
,,
Bakio,43.43388889,-2.801944444
,,
Balandra Bay,10.717707,-60.989621
,,
Balangan,-8.794,115.12
,,
Balao,0.9854,-79.6766
,,
Baleal,39.36641267,-9.352113484
,,
Balian,-8.5242,114.988
,,
Ballito,-29.534,31.224
,,
Ballybunion,52.513,-9.681
,,
Ballyheirnan Bay,55.25,-7.704
,,
Balok Beach,3.931,103.376
,,
Baltrum,53.7358,7.38144
,,
Bambui,-22.975255,-42.91657
,,
Bamburgh,55.61055556,-1.698333333
,,
Bananas Point,-23.771605,-45.70621
,,
Banc de Pabos,48.369,-64.59
,,
Banderas,20.749,-105.46
,,
Bandol,43.132,5.748
,,
Bang Niang Rivermouth,8.675,98.24
,,
Bang Tao,7.987,98.286
,,
Bankvaults,-1.852,99.244
,,
Banna Beach,52.339,-9.842
,,
Bantham,50.27584715,-3.884096146
,,
Banyans,19.606,-155.978
,,
Banzai,42.029,11.839
,,
Bar Beach,-32.941,151.765
,,
Bar Beach Reef,-32.942,151.769
,,
Baracoa Coast,20.29935933,-74.38513581
,,
Barahona,-0.9701,-90.9944
,,
Barbate,36.183,-5.919
,,
Barbers Point,21.295,-158.107
,,
Barceloneta,41.376,2.194
,,
Bariri,-20.636119,-40.42936
,,
Barlings Beach,-35.83,150.199
,,
Barmouth,52.726,-4.069
,,
Barra Beach,-23.79,35.522
,,
Barra Vento,-13.010236,-38.526387
,,
Barra Vieja,16.686,-99.627
,,
Barra da Cuanza,-9.359,13.152
,,
Barra da Tijuca,-23.01488611,-43.37222222
,,
Barra da Tijuca,-23.02034012,-43.37247849
,,
Barra de Colotepec,15.806,-97.019
,,
Barra de Guaratiba,-23.064153,-43.569161
,,
Barra de Marica,-22.9621,-42.809487
,,
Barra de Navidad,19.206,-104.687
,,
Barra de Potosi,17.539,-101.45
,,
Barra de la Cruz,15.821,-95.964
,,
Barra de la Gabina,13.778,-90.213
,,
Barra do Ceara,-3.692659,-38.584716
,,
Barra do Sahy,-23.774385,-45.69757
,,
Barra do Una,-23.763818,-45.76278
,,
Barrack Point,-34.564,150.87
,,
"Barrao, Brazil",-20.427381,-40.320982
,,
Barrinha,-22.938145,-42.489733
,,
Barrinha,-20.422541,-40.321934
,,
Barron,23.089,-106.295
,,
Basin Bay,-33.676,151.316
,,
Basse Pointe,14.870417,-61.115167
,,
Bat Galim,32.8376,34.982
,,
Bat Yam,32.015,34.735
,,
Bateau Bay Beach,-33.385,151.485
,,
Bath House,36.01599221,-75.65344334
,,
Bathtub Beach,27.1856982,-80.15942037
,,
Batroun,34.243,35.659
,,
Baubigny,49.429,-1.83
,,
Bausje Strand-Borhaug,58.08536,6.611367
,,
Bawley Point,-35.508,150.402
,,
Bay City Beach,43.67366,-83.907386
,,
Bay Head,40.069932,-74.04144911
,,
Bay Village-Huntington Beach,41.491441,-81.934617
,,
Baya,-6.95835,106.2286083
,,
Bayfield Harbor,43.56877,-81.708678
,,
Bayview Park,45.05778,-83.43158
,,
Baywood Beach,35.3320268,-120.8455597
,,
Beachbreak,23.82,-110.739
,,
Beacons,33.06762966,-117.3083295
,,
Beadnell Bay,55.535,-1.628
,,
Beaver Bay,47.26027,-91.288639
,,
Beit Yanai,32.391,34.862
,,
Bejuco,9.48278011,-84.28883992
,,
"Bekal Fort, Kerala",12.391,75.035
,,
Belharra,43.397,-1.749
,,
Bellambi,-34.365,150.924
,,
Belleair,27.92492619,-82.84491228
,,
Bells Beach,-38.372284,144.283595
,,
Belongas Bay,-8.872222222,116.0316667
,,
Belongil Beach,-28.601,153.577
,,
Benaulim Beach,15.256,73.917
,,
Bendalong Beach,-35.251,150.533
,,
Bendalong Boat Ramp,-35.245,150.537
,,
Beng Bengs,-1.815,99.265
,,
Bennett Beach,42.65829,-79.064062
,,
Bennetts Head,-32.182,152.537
,,
Bergen aan Zee,52.660803,4.623903
,,
Bert's Bar,32.75733539,-79.83258856
,,
Bessa,-7.091138,-34.832765
,,
Betalbatim Beach,15.294,73.906
,,
Bete Grise Bay,47.374906,-87.961592
,,
Bethany Beach,38.538767,-75.05619
,,
Bethune Beach,28.95125171,-80.83837398
,,
Betset Beach,33.0805388,35.10572791
,,
Betty's,4.874,-1.782
,,
Bettys Bay,-34.35976111,18.90847222
,,
Beverly Beach,44.724734,-124.060801
,,
Beverly Shores,41.694864,-86.979826
,,
Bhatkal,13.961,74.537
,,
Bheemi Point,17.88882022,83.45597229
,,
Biarritz,43.48469486,-1.56023149
,,
Biboca,-3.835,-32.404
,,
Bicarrosse-Plage,44.445,-1.26
,,
Bicentennial Beach Park,28.15369383,-80.58334351
,,
Bidart,43.438,-1.599
,,
Big Bay,46.829376,-87.709009
,,
Big Beach - Little Beach,20.629,-156.446
,,
Big Sur Rivermouth,36.27968577,-121.8596166
,,
Big Wave Bay,22.245781,114.247669
,,
Big Whitefish Bay,43.114833,-87.891263
,,
Bilgola Beach,-33.644,151.33
,,
Billy Mitchell,35.22651725,-75.62549472
,,
Bingin,-8.804,115.113
,,
Birdie Beach,-33.209,151.605
,,
Birdrock,32.813094,-117.273807
,,
Birubi Point,-32.795,152.035
,,
Bishabetsu,43.5588,141.3758
,,
Bistrot,43.825,7.843
,,
Biville,49.609,-1.849
,,
Black Head,-32.071,152.551
,,
Black Plomer,-31.329,152.975
,,
Black Point,21.25460513,-157.7943177
,,
Black Point,-34.778,150.819
,,
Black Point Beach,38.68451802,-123.4322714
,,
Black Rock,-35.17533333,150.6881667
,,
Blackbeard Island,31.46684389,-81.21000564
,,
Blackfellows Point,-36.086,150.136
,,
Blackies,33.60891873,-117.9311192
,,
Blackies Close-up,33.6090885,-117.9302126
,,
Blacks,32.877231,-117.253031
,,
Blacksmiths,-33.081,151.659
,,
Blaketown Wedge,-42.44171944,171.1919361
,,
Blankenberge,51.32112,3.134657
,,
Blind Creek Park,27.36627923,-80.24622202
,,
Blind Pass,26.47856786,-82.18128859
,,
Blow Holes,-24.493,113.408
,,
Blowholes,29.89149786,-81.27232232
,,
Blowing Rocks,26.97679878,-80.08141631
,,
Blue Angel,28.465767,129.722443
,,
Blue Bay,-33.355,151.502
,,
Blue Fish Point,-33.816,151.304
,,
Blue Holes,-27.717,114.152
,,
Blue Horizon Motel,30.39491626,-86.61248005
,,
Blue Moons,-38.568,143.967
,,
Blue Mountain Beach,30.33661489,-86.2009437
,,
Blue Roofs,30.390516,-81.395591
,,
Blueys Beach,-32.353,152.538
,,
Bluff Beach,9.4,-82.245
,,
Bluffers Park,43.703402,-79.23561
,,
Blyth Beach,55.109,-1.496
,,
Boar Rice,8.723,76.712
,,
Bob Hall Pier,27.58118015,-97.21910402
,,
Boca Barranca,9.958235741,-84.74122408
,,
Boca Chica,26.06123118,-97.14768563
,,
Boca De Santo Tomas,31.561,-116.693
,,
Boca Del Solado,23.254,-109.436
,,
Boca Grande,26.71713433,-82.26287777
,,
Boca Raton Inlet,26.33649923,-80.069561
,,
Boca da Barra,-14.267566,-38.987256
,,
Boca de Apisa,18.683,-103.736
,,
Boca de Iguanas,19.305,-104.819
,,
Boca do Poco,-3.406057,-39.032107
,,
Bocas del Toro,9.389,-82.202
,,
Bocchetta,43.862,10.233
,,
Bocock's Bay,-21.519,13.856
,,
Bogliasco,44.377,9.069
,,
Bogue Inlet Pier,34.65844441,-77.03416944
,,
Boicucanga,-23.784431,-45.631355
,,
Boilers,29.02647703,-95.18702499
,,
Boldro,-3.844,-32.431
,,
Bolinas Jetty,37.90514516,-122.68151
,,
Bolsa Chica Overview,33.68730096,-118.0430962
,,
Bolsa Chica State Beach,33.68760321,-118.0423558
,,
Bolsa Chica State Beach N.,33.68783532,-118.0422914
,,
Bombies,-6.631141667,105.1167306
,,
Bombo Beach,-34.658,150.855
,,
Bondi,-33.902,151.271
,,
Boneyard,36.63788026,-121.9311174
,,
Boneyard ,33.45998105,-117.6891947
,,
Boneyards,-34.648,150.861
,,
Bonsteel Park,27.90161131,-80.46970233
,,
Boomerang Beach,-32.341,152.545
,,
Boranup,-34.164,115.027
,,
Bore,58.7993,5.545244
,,
Borkum,53.61083,6.68482
,,
Borsmose,55.673429,8.137993
,,
Borth,52.486,-4.054
,,
Boscombe,50.7175,-1.835
,,
Boston Bay,18.136523,-76.332999
,,
Bouka (Peloponnisos),36.992,21.648
,,
Boulder Beach,-28.817,153.605
,,
Boulders,-14.04,-171.772
,,
Boundary Road,-38.451,144.12
,,
Bournemouth,50.713,-1.877
,,
Bournemouth East,50.71616176,-1.873619556
,,
Bouznika Plage,33.82546944,-7.152102778
,,
Bowes Rivermouth,-28.413,114.452
,,
Box Beach,-32.731,152.184
,,
Box Head,-33.547,151.344
,,
Boynton Beach Inlet (Northside),26.54593873,-80.0410436
,,
Boynton Beach Inlet (Southside),26.54279208,-80.0429213
,,
Bracklesham Bay,50.76,-0.86
,,
Bradford Beach,43.06085,-87.872539
,,
Bradley Beach,40.19742291,-74.00650534
,,
Brandon Bay,52.27446,-10.098896
,,
Brandon's,13.0762283,-59.60844308
,,
Brantevik,55.519,14.348
,,
Breakers,26.71306786,-80.03222171
,,
Bredene,51.249555,2.949867
,,
Breezy Point,40.54698302,-73.9268034
,,
Breidavik,65.558,-24.368
,,
Brennans Beach,43.6829,-76.20169
,,
Bribie Island,-26.987,153.195
,,
Bridges,18.42531,-67.15604264
,,
Brigantine Jetty,39.37274173,-74.40453645
,,
Brighton Beach,46.842866,-91.992128
,,
Brims Ness,58.62277778,-3.653055556
,,
Brimuro,63.448,-20.298
,,
Bristol,28.748903,-13.873419
,,
Broadbeach,-28.03,153.44
,,
Broadhaven,51.783,-5.108
,,
Broadwater Beach,-29.057,153.458
,,
Broadway Beach,38.929441,-74.931286
,,
Broken Head,-28.70581667,153.6198333
,,
Bronte Beach,-33.903,151.268
,,
Brookings Jetty,42.0436824,-124.2682812
,,
Brooks Street,33.53265918,-117.7776402
,,
Brooms Head,-29.606,153.341
,,
Broulee Beach,-35.874,150.16
,,
Broulee Island,-35.853,150.19
,,
Brusand,58.530027,5.763156
,,
Buarcos,40.162,-8.8812
,,
Bud Bud,46.395,-1.513
,,
Bud and Alley's,30.31815543,-86.13837719
,,
Buddina,-26.703,153.141
,,
Bude,50.83333333,-4.556111111
,,
Bude Crooklets ,50.83556782,-4.557802677
,,
Buffels Bay,-34.092,22.9816
,,
Buggerru,39.405,8.401
,,
Bulbaraing Bay,-33.464,151.437
,,
Bulcock Beach,-26.81,153.137
,,
Bull Island,32.90929771,-79.578104
,,
Bulli,-34.343,150.924
,,
Buma,26.600174,127.914054
,,
Bundaberg,-24.703,152.434
,,
Bundagen Heads,-30.432,153.079
,,
Bundoran,54.47958089,-8.2925616
,,
Bunga Beach,-36.539,150.058
,,
Bungalows,30.27406893,-87.54367499
,,
Bungan,-33.665,151.321
,,
Bunge y El Mar,-37.119,-56.851
,,
Buraco,-9.027,13.002
,,
Burgerworld,-1.84,99.151
,,
Buritaca,11.265,-73.7715
,,
Burleigh Heads,-28.08967142,153.4595648
,,
Burning Palms,-34.187,151.043
,,
Busca Vida,-12.863464,-38.255962
,,
Busua Beach,4.808,-1.93
,,
Buttenheim Park,29.33976495,-81.06060294
,,
Butter Box,-33.744,151.317
,,
Bønnerup/Djurslands,56.534909,10.718046
,,
C St.,34.27204174,-119.2997646
,,
C St. Overview,34.2725205,-119.2997003
,,
"C Street, Wrightsville Beach",34.20859853,-77.79292859
,,
Caballeros,-12.326,-76.841
,,
Cabarita,-28.33445212,153.5773879
,,
Cabarita South,-28.337,153.576
,,
Cabbage Tree,-33.276,151.567
,,
Cabedelo,40.13063921,-8.870444229
,,
Cabedelo,-6.962174,-34.842187
,,
Cable Landing,35.30143373,-120.8778192
,,
Cables,-32.01661667,115.7511583
,,
Cabo Blanco,-4.248611111,-81.22861111
,,
Cabo Blanquillo,-4.271778,-81.251374
,,
Cabo Colonet,30.953,-116.268
,,
Cabo Frio Praia do Forte,-22.884866,-42.013447
,,
Cabo Ledo,-9.677,13.2
,,
Cabo Pulmo,23.417,-109.422
,,
Cabretta Island,31.42319936,-81.24725341
,,
Cabrillo Beach,33.70877301,-118.2840113
,,
Cachimbinha,-6.221001,-35.068607
,,
Cacimba do Padre,-3.849,-32.439
,,
Cactus,-32.14336389,133.108996
,,
Cadiz,36.53,-6.307
,,
Cadzand,51.3697,3.36841
,,
Caesarea,32.529,34.899
,,
Cahuita,9.746222222,-82.85211111
,,
Caioba,-25.838,-48.535
,,
Cajo Babo,20.062663,-74.4972
,,
Cala Agulla,39.723,3.4526
,,
Cala Jondal,38.865,1.316
,,
Cala Mesquida,39.7448,3.4343
,,
Cala Nova,39.0082,1.5825
,,
Cala Ratjada,39.712,3.4699
,,
Calafia,32.2668,-117.018
,,
Calangute,15.542,73.755
,,
Caldera Jetty,9.922484733,-84.71589819
,,
Caleta de Caballo,29.118317,-13.637418
,,
Calhau,-2.480673,-44.24968
,,
California,26.327355,127.744163
,,
California Trailer Park,31.859,-116.669
,,
Callala,-35.008,150.714
,,
Callantsoog,52.83821,4.68687
,,
Caloundra,-26.809,153.136
,,
Camalu,30.813,-116.087
,,
Camarauacu,-0.866087,-46.432262
,,
Camaronal,9.861,-85.444
,,
Camaronera,18.82,-95.832
,,
Camboinhas,-22.961998,-43.059923
,,
Camboriu,-26.987505,-48.630341
,,
Camburi,-23.779117,-45.648965
,,
Camden Head,-31.649,152.836
,,
Camel Rock,-36.379,150.077
,,
Camp Pendleton,36.81735876,-75.96624255
,,
Campeche,-27.68897778,-48.47757778
,,
Campeche Rights,-27.695,-48.482
,,
Campelo,43.6068,-8.1972
,,
Camperduin,52.72711,4.63725
,,
Campo Lopez (K-55),32.15686716,-116.8990105
,,
Campo Renes,26.793,-113.484
,,
Campus Point,34.40511766,-119.8431733
,,
Can Pujols,38.9706,1.275
,,
Canal,-22.937419,-42.487813
,,
Canal One,-23.972415,-46.352187
,,
Canatara Beach,43.00558,-82.40726
,,
Canet Plage,42.7,3.039
,,
Canggu,-8.665,115.125
,,
Cannery Stacks,31.869,-116.682
,,
Cannes,43.536,7.041
,,
Cannon Beach,45.8817993,-123.9668117
,,
Cannon Beach,59.495,-139.787
,,
Canoa,-0.4613,-80.4614
,,
Canoes,21.27394674,-157.8277734
,,
Canova Beach,28.13843464,-80.57924509
,,
Cantamar Settlement,32.139,-116.9
,,
Canto de Moreira,-23.793056,-45.587394
,,
Canto do Leblon,-22.988055,-43.221596
,,
Canto do Leme,-22.964118,-43.165149
,,
Canyamel,39.656,3.441
,,
Cap Ferret,44.638,-1.265
,,
Cap Ferret Chenal,44.622,-1.258
,,
Cap Frehel,48.657,-2.362
,,
Cap Saint-Louis,43.178,5.674
,,
Cap de l'Homy-Plage,44.04,-1.344
,,
Cap de la Chevre,48.168,-4.559
,,
Capaes,-2.1969,-80.8619
,,
Capbreton,43.643,-1.448
,,
Cape Cod,41.817,-69.935
,,
Cape Cross,-21.77,13.95
,,
Cape Hatteras Lighthouse,35.25461942,-75.52073934
,,
Cape Kersaint,-36.03905,137.12681
,,
Cape Lookout National Seashore,34.68674113,-76.47516712
,,
Cape Pakarang,8.745,98.219
,,
Cape Romain,33.03478144,-79.35021028
,,
Cape San Blas,29.67671207,-85.36894742
,,
Cape Three Points,4.744,-2.086
,,
Cape Town,-33.904,18.383
,,
Cape Zampa,26.44146472,127.7112486
,,
Capitola,36.971492,-121.948598
,,
Capo Mannu,40.03,8.383
,,
Capo Marina,44.391,8.956
,,
Capo Vieste,41.925,16.11
,,
Capolinea,40.81,14.044
,,
Carabiniere,44.54,12.281
,,
Carapebus,-20.231408,-40.21168
,,
Caravelas,-22.81485,-41.953902
,,
Carcans,45.083,-1.195
,,
Carcavelos,38.67869247,-9.336854109
,,
Cardiff Reef Overview,33.01352178,-117.2821856
,,
Cardiff Reef South,33.01475766,-117.2842382
,,
Cardoso,-28.58545,-48.79827
,,
Careneros,9.355,-82.226
,,
Carmel Beach,36.55448901,-121.9311417
,,
Carnon,43.54,3.973
,,
Carola,-0.8904,-89.6146
,,
Carolina Beach Pier,34.05683596,-77.88128133
,,
Carpinteria State Beach,34.38935162,-119.5195473
,,
Carrapateira,37.202412,-8.908521
,,
Carrizalillo,15.859,-97.0796
,,
Carrowinskey,53.733,-9.901
,,
Cartagena Jetty,10.3993,-75.5645
,,
Carupano,10.675,-63.236
,,
Casa Grande,11.2751,-73.8553
,,
Casas,30.143,-115.818
,,
Cascade River State Park,47.73292,-90.422363
,,
Casino Pier,39.94151988,-74.06829
,,
Casino Pier Northside,39.9432226,-74.06910539
,,
Casinos,34.012,35.642
,,
Caspar Beach,39.361071,-123.818087
,,
Cassis,43.212,5.537
,,
Castelo,38.64035,-9.242745
,,
Castillogrande,10.3944,-75.5554
,,
Castlepoint Beach,-40.899513,176.229666
,,
Castricum aan Zee,52.557406,4.603792
,,
Casuarina,-28.292,153.578
,,
Casuarina Beach,-12.343,130.871
,,
Caswell Bay,51.565,-4.033
,,
Cat Bay,-38.50596111,145.1404417
,,
Catawba,41.544983,-82.883816
,,
Cathedral Bluffs,43.714406,-79.22452
,,
Cathedral Rock,-38.48,144.035
,,
Catherine Hill Bay,-33.153,151.631
,,
Cattle Wash,13.220009,-59.529543
,,
Cave Beach,-35.164,150.67
,,
Cave Rock,-29.8893,31.052
,,
Caves,-32.081831,132.979208
,,
Caves Beach,-33.105,151.65
,,
Cayucos Overview,35.44814193,-120.9058446
,,
Cayucos Pier,35.44820115,-120.9071461
,,
Cedar Point,41.480161,-82.676366
,,
Cellitos Beach,-32.38039638,152.5295448
,,
Center Channel,7.005277778,158.1933333
,,
Central Ocean Beach North,37.75001868,-122.5116348
,,
Central Ocean Beach South,37.74774516,-122.5101113
,,
Cerritos,23.3287787,-110.1771504
,,
Cerro,39.362307,-9.367947578
,,
Cerro Azul,-13.02602,-76.49459
,,
Cerro Gallina,-0.7099,-90.5062
,,
Cerro Hermosa,15.967,-97.536
,,
Cesano,43.748,13.177
,,
Chabela,-2.6407,-80.4011
,,
Chacahua,15.967,-97.674
,,
Chacala,21.188,-105.23
,,
Chagurama,10.715,-63.047
,,
Challaborough,50.28467778,-3.900618553
,,
Chalupy,54.769,18.492
,,
Chambre d'Amour,43.496,-1.548
,,
Chame Banks,8.573213106,-79.79481697
,,
Champerico,14.292,-91.918
,,
Chandeleur Islands,29.894,-88.823
,,
Chapel Porth,50.3022793,-5.237925053
,,
Charles Mears State Park,43.796633,-86.436163
,,
Charlevoix,45.320789,-85.265518
,,
Charlie's Crab,26.69907556,-80.03263235
,,
Chart House,34.03944902,-118.5753918
,,
Chassiron,46.049,-1.42
,,
Chatarra,18.45529356,-65.96670584
,,
Chefs,-23.751,43.63
,,
Chekka,34.311,35.714
,,
Chendor Beach,4.172,103.427
,,
Cherating,4.123,103.398
,,
Cheray Beach,10.139,76.178
,,
Cherry Grove,33.82400494,-78.64925909
,,
Cherry Hill,44.139,-64.509
,,
Cherry Hill,12.062,-61.757
,,
Chesterman Beach,49.11805556,-125.8944444
,,
